activityTypeId,activityTypeName,amountFC,amountUSD,date,exchangeRate,expenseTypeId,expenseTypeName
FAFvIo1DPZrqzBVyAIju,Block Ice,30500.0,10.52,2025-02-26,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,41000.0,14.14,2025-02-27,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,30500.0,10.52,2025-02-28,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,30500.0,10.52,2025-03-01,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,30500.0,10.52,2025-03-02,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,42000.0,14.48,2025-03-03,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,30500.0,10.52,2025-03-04,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,34000.0,11.72,2025-03-05,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,37500.0,12.93,2025-03-06,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,30500.0,10.52,2025-03-08,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,37500.0,12.93,2025-03-09,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,34000.0,11.72,2025-03-10,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,34000.0,11.72,2025-03-11,2900,rJmQiBwOFlBSMV2xqVWU,Monthly Commitment
FAFvIo1DPZrqzBVyAIju,Block Ice,5000.0,1.72,2025-02-26,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,7000.0,2.41,2025-02-27,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,1157000.0,398.97,2025-02-28,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,535000.0,184.48,2025-03-01,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,515000.0,177.59,2025-03-02,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,21000.0,7.24,2025-03-03,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,370000.0,127.59,2025-03-04,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,7000.0,2.41,2025-03-05,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,14000.0,4.83,2025-03-09,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,315000.0,108.62,2025-03-10,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,7000.0,2.41,2025-03-11,2900,Kz0wYCTSR6vrdcSI1P2x,Staff
FAFvIo1DPZrqzBVyAIju,Block Ice,111500.0,38.45,2025-02-28,2900,K94oRU4tnZ5H29EYT0p2,Tax Charges
FAFvIo1DPZrqzBVyAIju,Block Ice,11000.0,3.79,2025-03-03,2900,K94oRU4tnZ5H29EYT0p2,Tax Charges
FAFvIo1DPZrqzBVyAIju,Block Ice,75000.0,25.86,2025-02-26,2900,GuB4Y1lggUzAbXiuNipL,Generator Fuel
FAFvIo1DPZrqzBVyAIju,Block Ice,150000.0,51.72,2025-03-03,2900,GuB4Y1lggUzAbXiuNipL,Generator Fuel
FAFvIo1DPZrqzBVyAIju,Block Ice,235000.0,81.03,2025-03-04,2900,GuB4Y1lggUzAbXiuNipL,Generator Fuel
